"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Elma O.; Cali U.; Kuzlu M.","Elma, Onur (54794974500); Cali, Umit (54974113000); Kuzlu, Murat (35409671400)","54794974500; 54974113000; 35409671400","An overview of bidirectional electric vehicles charging system as a Vehicle to Anything (V2X) under Cyber–Physical Power System (CPPS)","2022","Energy Reports","8","","","25","32","51","10.1016/j.egyr.2022.10.008","https://www.scopus.com/pages/publications/85140140468?origin=resultslist","Nowadays, EVs are rapidly increasing in popularity, and are accepted as the vehicles of the future all over the world. The most important components are their battery and charging systems. The energy capacity of EVs’ batteries has a significant potential to supply different energy requirements. Therefore, EVs must be designed in accordance with bidirectional power flow, and Electric Vehicle Supply Equipment (EVSE) should be upgraded as Electric Vehicle Power Exchange Equipment (EVPE). This power exchange infrastructure can be called Vehicle-to-Anything (V2X). V2X will also be the key solution for energy grids of the future that will turn into a much larger and smarter system with the help of emerging digitalization technologies, such as Artificial Intelligence (AI), Distributed Ledger Technology (DLT), and the Internet of Things (IoT). This study introduces a multi-layer Cyber–Physical Power Systems (CPPS) framework to explore the potential of V2X technologies allowing bidirectional charging. In addition, the impact of e-mobility is discussed from the V2X perspective. V2X has the potential to provide more practical use of electric vehicles and to bring advantages to the user in terms of both economy and comfort, thus accelerating the transformation of e-mobility and making it easier to accept. © 2022 The Author(s)","Bidirectional charging systems; Cyber–physical​ systems; e-mobility; Electric vehicles; V2X","Blockchain; Charging (batteries); Distributed ledger; Electric load flow; Secondary batteries; Bidirectional charging system; Charging systems; Cybe-physical systems; Cyber physicals; Cyber-physical systems; E mobilities; Electric vehicle charging; Physical power; Power exchange; V2X; Internet of things","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140140468"
"Chen C.; Li Y.; Hu J.; Liu Z.; Cong L.; Deng X.; Wan S.","Chen, Chen (56640091900); Li, Yuanhang (59930025400); Hu, Jinna (57190407221); Liu, Ziye (57224371326); Cong, Li (25930714700); Deng, Xiaoheng (10045573800); Wan, Shaohua (35190004700)","56640091900; 59930025400; 57190407221; 57224371326; 25930714700; 10045573800; 35190004700","PCD-DB: Enhancing Popular Content Dissemination by Incentivizing V2X Cooperation Among Electric Vehicles Using DAG-Based Blockchain","2026","IEEE Transactions on Intelligent Transportation Systems","27","3","","3744","3760","2","10.1109/TITS.2025.3603911","https://www.scopus.com/pages/publications/105015187579?origin=resultslist","Collaborative content dissemination enables vehicles to directly access content from surrounding nodes through Vehicle-to-Everything (V2X) technologies, such as Vehicle-to-Vehicle (V2V) or Vehicle-to-Infrastructure (V2I) communication. This approach significantly alleviates the downlink traffic burden on cellular network base stations caused by repeated downloading of popular content while addressing security challenges in electric vehicle (EV) charging operations, such as payment fraud and data tampering. A key yet unresolved challenge in content dissemination and EV charging is incentivizing vehicles to participate in collaborative processes voluntarily. Existing incentive mechanisms mainly rely on centralized architectures, which are vulnerable to single-point attacks and trust issues in third-party platforms. To overcome these limitations, we propose the PCD-DB (Popular Content Dissemination using DAG-based Blockchain) scheme, which uses a Directed Acyclic Graph (DAG)based blockchain to incentivize V2X collaboration for dual applications: improving content dissemination efficiency and ensuring secure EV charging transactions. Our novel framework establishes a decentralized incentive system where vehicles act as content propagators or charging service providers, depending on their service capabilities. We define the propagation and charging capabilities of vehicles and use contract theory to design hierarchical contracts tailored to heterogeneous vehicle roles. Numerical results show that our decentralized incentive mechanism significantly improves the efficiency and profitability of vehicle content dissemination while ensuring the security of electric vehicle charging transactions, outperforming existing benchmark methods. © 2025 IEEE. All rights reserved.","blockchain; directed acyclic graph; incentive mechanism; Popular content dissemination; vehicle-to-everything","Charging (batteries); Charging stations; Distributed computer systems; Efficiency; Electric vehicles; Information dissemination; Mobile security; Network security; Vehicle to infrastructure; Vehicle to vehicle communications; Acyclic graphs; Block-chain; Content dissemination; Decentralised; Directed acyclic graph; Electric vehicle charging; Graph-based; Incentive mechanism; Popular content dissemination; Vehicle to vehicles; Blockchain","Article","Final","","Scopus","2-s2.0-105015187579"
"Wu Y.; Zhang C.; Zhu L.","Wu, Yan (57211611315); Zhang, Can (57192941521); Zhu, Liehuang (7404201289)","57211611315; 57192941521; 7404201289","Privacy-Preserving and Traceable Blockchain-Based Charging Payment Scheme for Electric Vehicles","2023","IEEE Internet of Things Journal","10","24","","21254","21265","24","10.1109/JIOT.2023.3283415","https://www.scopus.com/pages/publications/85161526985?origin=resultslist","With the rapid development of the global clean energy industry, the electric vehicle (EV) has gradually replaced the traditional fuel vehicle as a promising modern transportation tool due to its environmental friendliness and competitive prices. Its widespread adoption has led to a substantial increase in demand for subsidiary facilities, such as charging piles and stations. Despite the convenience and accessibility offered by charging services, the privacy of EV users may be compromised in the process, as malicious attackers can infer their true identities and consumption habits from service orders. Existing studies introduce blockchain technology into vehicle charging payment scenarios to protect the privacy of EV users. Unfortunately, it cannot achieve the desired full anonymity and may even hinder electricity regulators' investigation of suspicious transactions and entities. Therefore, designing a vehicle charging payment scheme that simultaneously supports privacy protection and traceability is a challenge. To address these concerns, this article proposes a privacy-preserving and traceable blockchain-based charging payment (PTB-CP) scheme for EVs. It can protect users' identity privacy and transaction unlinkability and track abnormal transactions or entities in exceptional circumstances. We conduct a comprehensive analysis of PTB-CP from both theoretical and experimental aspects. The analysis results demonstrate that our scheme can realize privacy protection, reliability and authentication, traceability, scalability, and high efficiency.  © 2014 IEEE.","Blockchain; mixing service; privacy preserving; smart contract; traceability; vehicle charging","Blockchain; Charging (batteries); Electric vehicles; Internet of things; Privacy-preserving techniques; Reliability analysis; Scalability; Block-chain; Mixing service; Payment schemes; Privacy; Privacy preserving; Public keys; Traceability; Vehicle charging; Vehicle users; Smart contract","Article","Final","","Scopus","2-s2.0-85161526985"
"Fu Z.; Dong P.; Li S.; Ju Y.; Liu H.","Fu, Zhengtang (57216039185); Dong, Peiwu (12647390700); Li, Siyao (59629443700); Ju, Yanbing (56268951900); Liu, Hanbo (57222482811)","57216039185; 12647390700; 59629443700; 56268951900; 57222482811","How blockchain renovate the electric vehicle charging services in the urban area? A case study of Shanghai, China","2021","Journal of Cleaner Production","315","","128172","","","38","10.1016/j.jclepro.2021.128172","https://www.scopus.com/pages/publications/85109036000?origin=resultslist","With the sustainable development of cities, green transportation is regarded as a critical approach to mitigate air pollution and greenhouse gas emissions. Driven by this, Electric vehicles (EV) have been strongly advocated by the government for their zero-emission merit. However, the promotion of EV is not smoothly caused by inconvenient charging issues. For the high construction cost and land scarcity, current public charging stations could not meet the booming charging demands and worry the potential EV users. To address the problem, this paper proposed a peer-to-peer (P2P) private charging pile sharing system supported by blockchain technology. In this system, the charging records of EV users could be packaged and uploaded into the blockchain, which is immutable and tamper-resistant. The detailed blockchain hierarchy is also designed to make this system more practical. Meanwhile, the Multi-Agent-Based (MAB) model is adopted to evaluate the performance of this sharing system. In this model, different participants’ behaviors are fully considered and calculated. Furthermore, several numerical experiments are conducted to unveil the inner business relationships between charing demanders and pile suppliers. Lastly, the proposed private pile sharing system is validated by the realistic data of the Lujiazui business circle in Shanghai, China. © 2021","Blockchain; Electric vehicle charging; Multi-agent simulation; Peer to peer; Sharing economics","Blockchain; Charging (batteries); Electric vehicles; Gas emissions; Greenhouse gases; Peer to peer networks; Piles; Urban transportation; Block-chain; Case-studies; City greens; Electric vehicle charging; Multi-agents simulations; Peer to peer; Sharing economic; Sharing systems; Urban areas; Vehicle users; Multi agent systems","Article","Final","","Scopus","2-s2.0-85109036000"
"Smirek L.; Griesing J.; Höpfer T.; Stetter D.","Smirek, Lukas (57003695600); Griesing, Jens (59539767700); Höpfer, Tobias (57304262200); Stetter, Daniel (25932359100)","57003695600; 59539767700; 57304262200; 25932359100","Toward User-Centered, Trustworthy, and Grid-Supportive E-Mobility Ecosystems: Comparing the BANULA Architecture Against Existing Concepts","2025","World Electric Vehicle Journal","16","2","69","","","0","10.3390/wevj16020069","https://www.scopus.com/pages/publications/85218925771?origin=resultslist","Advances in electric vehicles and charging infrastructure technology have given the electrification of road traffic a positive momentum. Nowadays, it is becoming more and more evident that the related energy and financial processes of the current e-mobility ecosystem are reaching their limits. This leads to usability losses for end users as well as administrative and non-causation-based financial burdens on various energy system participants. In this article, use cases are inferred from the literature, the aforementioned challenges are discussed in more detail, and strategies for addressing them are presented. Furthermore, the information system architecture of the BANULA project, with its core elements of open communication standards, virtual balancing areas, and blockchain components, is explained. BANULA addresses the aforementioned challenges by holistically considering the needs of all participants. A special focus of the project is implementing and investigating the concept of virtual balancing areas. This concept has been available since 2020 but has not been implemented in the market yet. To the best of the authors’ knowledge, BANULA is the first project that utilizes current legislation to transfer charging infrastructure to virtual balancing areas in conjunction with distributed ledger technology to support related processes. In the first step, the BANULA implementation prototype targets the German e-mobility ecosystem, but applicability to other states in the European Union is planned. Using an independent framework, the BANULA architecture and its prototypical implementation are evaluated. The authors show that the unique combination of virtual balancing areas and the related processes, enhanced through distributed ledger technology, has the potential to contribute to a user-centered, trustworthy, and grid-supportive e-mobility ecosystem. © 2025 by the authors.","charging; data acquisition; infrastructure; mass market; virtual balancing area","Charging stations; Virtual addresses; 'current; Charging; Charging infrastructures; E mobilities; Infrastructure; Infrastructure technologies; Mass market; Road traffic; User-centred; Virtual balancing area; Distributed ledger","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85218925771"
"Park K.; Das A.K.; Park Y.","Park, Kisung (57194833768); Das, Kumar Ashok (55450732800); Park, Youngho (56962990300)","57194833768; 55450732800; 56962990300","BAPS-DITS: Blockchain-Enabled Accountable Privacy-Preserving Scheme for Decentralized Intelligent Transportation Systems","2025","IEEE Transactions on Intelligent Transportation Systems","26","5","","6749","6763","9","10.1109/TITS.2025.3542795","https://www.scopus.com/pages/publications/85219091292?origin=resultslist","The integration of intelligent transportation systems (ITS) within the smart grid has significantly enhanced the reliability, efficiency, and security of vehicle-to-grid (V2G) services over the past decade, leading to increased research interest in this technology. Charging stations (CSs) utilize electric vehicles (EVs) to manage demand response and provide sustainable energy solutions. However, the transmission of information between EVs and CSs via public channels causes critical security vulnerabilities. Although much effort has been made to overcome the challenge of protecting security and privacy in V2G environments, these efforts have either been proposed based on a centralized architecture or do not ensure essential security requirements, such as self-sovereignty, reliable, and blockchain scalability. Furthermore, in decentralized network, it is difficult to provide reliable energy distribution because a malicious participant can easily try to inflate trading volumes and manipulate energy prices. In this paper, we propose a new blockchain-enabled, reliable, privacy-preserving scheme using decentralized identifiers (DIDs) for preventing energy wash trading in V2G networks called BAPS-DITS. BAPS-DITS guarantees to tackle the above challenges without a trusted third-party intervention. Additionally, we use informal and formal (mathematical) analysis to prove the security of BAPS-DITS and conduct a comparative analysis comparing the security properties, computational cost, and communication cost of BAPS-DITS to previous studies. Furthermore, we implement BAPS-DITS on a practical Ethereum network, demonstrating its efficiency and feasibility, showing that BAPS-DITS provides self-sovereignty, accountability, and blockchain scalability; thus, it is suitable for actual V2G environments. © 2000-2011 IEEE.","authentication; blockchain; security and privacy; self-sovereignty; Vehicle-to-grid (V2G); wash trading","Barium alloys; Blockchain; Cost benefit analysis; Differential privacy; Intelligent vehicle highway systems; Scalability; Block-chain; Charging station; Decentralised; Intelligent transportation systems; Privacy preserving; Security and privacy; Self-sovereignty; Vehicle to Grid (V2G); Vehicle-to-grid (V2G); Wash trading; Vehicle-to-grid","Article","Final","","Scopus","2-s2.0-85219091292"
"Fattahi J.","Fattahi, Javad (56205561000)","56205561000","A Federated Byzantine Agreement Model to Operate Offline Electric Vehicle Supply Equipment","2024","IEEE Transactions on Smart Grid","15","2","","2004","2016","10","10.1109/TSG.2023.3307679","https://www.scopus.com/pages/publications/85168719715?origin=resultslist","Providing equitable and resilient electric vehicle supply equipment (EVSE) to remote locations with limited access to the Internet infrastructure is one of the paradoxes in the decarbonization plan. In this paper, we develop an electric vehicle (EV) charging management system comprised of offline EVSEs based on a Federated Byzantine Agreement (FBA) system. To enable offline peer-to-peer (P2P) authentication between the user's device (UD) and EVSE stations, we use a distributed certificate management based on Shamir's algorithm and blind signing approach using the ring signature. We introduce extended FBA for charge point operator (FBA-CPO) systems and include explicit operational functions to ensure the ledger dissemination and scalability of the network. We specifically employ a pre-authorized mechanism for deferral vouchers using a pre-signed and weighted signing method. In the FBA-CPO network, each charger records all transactions on a local ledger and publicly publishes ledgers through random UD nodes. Under a generalization of the property of the federated quorum system, the proposed approach could provide a reliable network centrality with or without offline EVSEs. Eventually, we examined the performance of the proposed model using a system of real devices and their digital twins. Results show the FBA-CPO satisfies all functional and cross-cutting requirements for a consistent transnational mechanism.  © 2010-2012 IEEE.","blockchain; CPO; DLT; EVSE; FBA","Authentication; Digital devices; Distributed computer systems; Distributed ledger; Electric vehicles; Internet of things; Peer to peer networks; Scalability; Smart city; Block-chain; Byzantine Agreement; CPO; DLT; Electric vehicle supply equipments; Federated byzantine agreement; Offline; Peer-to-peer computing; Remote location; Trustless service; Blockchain","Article","Final","","Scopus","2-s2.0-85168719715"
"Razzaque M.A.; Khadem S.K.; Patra S.; Okwata G.; Noor-A-Rahim M.","Razzaque, Mohammad A. (55649571762); Khadem, Shafiuzzaman K. (59974594500); Patra, Sandipan (55819629400); Okwata, Glory (59974255300); Noor-A-Rahim, Md. (56102801300)","55649571762; 59974594500; 55819629400; 59974255300; 56102801300","Cybersecurity in vehicle-to-grid (V2G) systems: A systematic review","2025","Applied Energy","398","","126364","","","14","10.1016/j.apenergy.2025.126364","https://www.scopus.com/pages/publications/105009738368?origin=resultslist","Integrating electric vehicles (EVs) into the smart grid networks through vehicle-to-grid (V2G) systems offers transformative potential for energy optimisation and grid stability. However, this bidirectional energy exchange introduces significant cybersecurity challenges, including vulnerabilities to spoofing, denial-of-service attacks, and data manipulation, which threaten the integrity and reliability of the V2G system. Despite the growing body of research on V2G cybersecurity, existing studies often adopt fragmented approaches, leaving gaps in addressing the entire ecosystem, including users, EVs, charging stations, and energy market and trading platforms. This paper presents a systematic review of recent advancements in V2G cybersecurity, employing the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) framework for detailed searches across three journal databases and includes only peer-reviewed studies published between 2020 and 2024 (June). We identified and reviewed 134 V2G cybersecurity studies and found five important insights into existing V2G cybersecurity research. First, most studies (104 of 134) focused on protecting V2G systems against cyber threats, while only seven studies addressed the recovery aspect of the CRML (Cybersecurity Risk Management Lifecycle) function. Second, existing studies have adequately addressed the security of EVs and EVCS (EV charging stations) in V2G systems (113 and 81 of 134 studies, respectively). However, none have focused on the linkage between the behaviour of EV users and the cybersecurity of V2G systems. Third, physical access, control-related vulnerabilities, and user behaviour-related attacks in V2G systems are not addressed significantly. Furthermore, existing studies overlook vulnerabilities and attacks specific to AI (artificial intelligence) and blockchain technologies. Fourth, blockchain, AI, encryption, control theory, and optimisation are the main technologies used, and finally, the inclusion of quantum safety within encryption and AI models and AI assurance (AIA) is in a very early stage; only two and one of 134 studies explicitly addressed quantum safety and AIA through explainability. By providing a holistic perspective, this study identifies critical research gaps and outlines future directions for developing robust end-to-end cybersecurity solutions to safeguard V2G systems and support global sustainability goals. © 2025 Elsevier Ltd","AI assurance; Artificial intelligence; Attacks; Autonomous vehicles; Blockchain; Cybersecurity; Elective vehicles (EV); Quantum-safe; Smart grid; Vulnerabilities","Autonomous vehicles; Behavioral research; Cybersecurity; Denial-of-service attack; Distributed computer systems; Life cycle; Network security; Power markets; Risk management; Safety engineering; Smart power grids; Artificial intelligence assurance; Attack; Autonomous Vehicles; Block-chain; Cyber security; Elective vehicle; Quantum-safe; Smart grid; Systematic Review; Vulnerability; artificial intelligence; autonomous underwater vehicle; electric vehicle; energy market; smart grid; sustainability; vulnerability; Blockchain","Article","Final","","Scopus","2-s2.0-105009738368"
"Wang N.; Wang Y.; Liu J.; Fu J.; Deng L.","Wang, Na (57193692264); Wang, Yaning (60042733300); Liu, Jianwei (55682417200); Fu, Junsong (57208200976); Deng, Lunzhi (35236517500)","57193692264; 60042733300; 55682417200; 57208200976; 35236517500","SecretCharge: A Blockchain-Based and Privacy-Preserving Scheme for Payment Information of Intelligent Connected Vehicles","2026","IEEE Transactions on Vehicular Technology","75","1","","1507","1520","0","10.1109/TVT.2025.3597324","https://www.scopus.com/pages/publications/105013185045?origin=resultslist","In the development of urban transportation, Intelligent Connected Vehicle (ICV) technology has become a key force in promoting intelligence, sustainability, and efficiency. In particular, the rapid development of electric vehicles (EVs) has led to a growing demand for charging. However, this process risks exposing the private payment information of EV users, including the location of charging stations, the moment of charging, and users' identities. Our paper proposes a blockchain-based distributed privacy-preserving payment scheme named “SecretCharge”, designed to protect users' private information for ICV payment service scenarios. To meet the demands of large-scale applications of ICV, we propose an efficient group signature scheme based on the ElGamal signature, achieving high efficiency in key generation, signing, and verification algorithms. To conceal the payment information of EV users, we sign the data using our group signature scheme and use it as input for a zero-knowledge proof, ensuring that the information can be verified without being disclosed. To eliminate the dependence on third-party billing entities in traditional centralized schemes, we process system payments on the blockchain, achieving decentralization. Finally, our scheme is tested on Ethereum. The experimental results demonstrate our scheme's efficiency and usability, achieving privacy protection for user payment information in ICV. © 1967-2012 IEEE.","Blockchain; group signature; intelligent connected vehicles; privacy-preserving","Authentication; Efficiency; Electronic document identification systems; Electronic money; Intelligent vehicle highway systems; Privacy-preserving techniques; Urban growth; Urban transportation; Vehicles; Block-chain; Charging station; Group signature scheme; Group signatures; Growing demand; Intelligent connected vehicle; Privacy preserving; Process risks; Vehicle technology; Vehicle users; Blockchain","Article","Final","","Scopus","2-s2.0-105013185045"
"Javed M.U.; Javaid N.; Malik M.W.; Akbar M.; Samuel O.; Yahaya A.S.; Othman J.B.","Javed, Muhammad Umar (57209504240); Javaid, Nadeem (26428797500); Malik, Muhammad Waseem (57216509312); Akbar, Mariam (15764791400); Samuel, Omaji (57202791996); Yahaya, Adamu Sani (57209261460); Othman, Jalel Ben (57189042083)","57209504240; 26428797500; 57216509312; 15764791400; 57202791996; 57209261460; 57189042083","Blockchain based secure, efficient and coordinated energy trading and data sharing between electric vehicles","2022","Cluster Computing","25","3","","1839","1867","38","10.1007/s10586-021-03435-9","https://www.scopus.com/pages/publications/85118434965?origin=resultslist","In this study, a secure and coordinated blockchain based energy trading system for Electric Vehicles (EVs) is presented. The major goals of this study are to provide secure and efficient energy trading between EVs and Charging Stations (CSs), and to ensure efficient coordination between EVs. In this study, a consortium blockchain based energy trading algorithm is presented that handles the essential energy requests, discards the redundant requests and calculates the distance between EVs and CSs. Moreover, Matching Pool (M-Pool) and Pairing Pool (P-Pool) are used to store energy and payment requests. Furthermore, a blockchain based mechanism is proposed for ensuring efficient coordination between EVs at the unsignalized crossroads and intersections. The scheme involves efficient communication between EVs and the timely sharing of important messages. In the proposed work, EVs are authenticated using a Registration Authority (RA) before they become part of a Vehicular Energy Network (VEN). The increase in the number of EVs results in an increase in the number of messages leading to data redundancy issue. To solve the issue, message filtration is performed. The delays incurred in the VEN are also mathematically formulated in this study. In addition, the range anxiety issue is discussed in the proposed work. Besides, a Local Aggregator (LAG) is used as an energy broker to manage energy trading events and transaction validation. To promote the users to take part in the proposed network, they are provided with incentives. The proposed model is tested against selfish mining attack and the security analysis is performed through Oyente tool. The simulation results show that the proposed study excels in providing a secure, efficient and coordinated energy trading and data sharing system for EVs. The results show that due to proper coordination, the risk factor is reduced by almost 25–30%. Moreover, almost 40–50% reduction in time is observed when storing less redundant data. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Consortium blockchain; Coordination; Data sharing and filtration; Energy trading; Incentive provisioning; Range anxiety; Vehicle-to-grid; Vehicle-to-vehicle","Electric vehicles; Lakes; Power markets; Vehicle-to-grid; Block-chain; Consortium blockchain; Coordination; Data filtration; Data Sharing; Energy trading; Incentive provisioning; Range anxieties; Vehicle to grids; Vehicle to vehicles; Blockchain","Article","Final","","Scopus","2-s2.0-85118434965"
"Augello A.; Gallo P.; Sanseverino E.R.; Sciabica G.; Sciumè G.","Augello, Alessandro (57887305500); Gallo, Pierluigi (53867854900); Sanseverino, Eleonora Riva (57218479108); Sciabica, Gaetano (57490511100); Sciumè, Giuseppe (59662728700)","57887305500; 53867854900; 57218479108; 57490511100; 59662728700","Certifying battery usage for V2G and second life with a blockchain-based framework","2023","Computer Networks","222","","109558","","","20","10.1016/j.comnet.2023.109558","https://www.scopus.com/pages/publications/85146099316?origin=resultslist","This paper describes a blockchain-based approach for sharing data among all the actors involved in Vehicle-to-Grid programs. The shared information is used both for monitoring the health status of the vehicle's battery and for remuneration in Vehicle-to-Grid programs. A blockchain platform and a set of appropriate smart contracts have been developed for supporting the interactions among the different actors and for creating battery usage profiles. To protect sensitive data, we limit the visibility scope of such data only to subsets of actors using blockchain channels. This approach preserves the privacy of the car owner on one hand and guarantees the compliance to correct charging and discharging modes, on the other hand, by using dedicated smart contracts to manage data for each of the channels. The approach here described proposes and develops a blockchain-based ecosystem for efficiently managing electric vehicles especially when these are called to provide electrical grid services, such as it happens for Vehicle-to-Grid programs. In this case, it is indeed possible that the battery undergoes an accelerated aging and thus certified recording of charging data for legal liability is one of the issues here dealt with. When possible, data are collected from multiple sources (e.g. the charging station and the Electric Vehicle) and from different parties with conflicting interests for validating data and breaking data silos that are within the car, the charging stations and the Battery Management System. © 2023 Elsevier B.V.","Battery; Blockchain; V2G","Battery management systems; Blockchain; Charging (batteries); Electric vehicles; Information management; Secondary batteries; Sensitive data; Smart contract; Battery; Block-chain; Charging station; Grid projects; Health status; Second Life; Sensitive datas; Shared information; Vehicle battery; Vehicle to grids; Vehicle-to-grid","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85146099316"
"Zhao J.; He C.; Peng C.; Zhang X.","Zhao, Jianghua (57226504268); He, Chuan (57199719227); Peng, Changrong (58452321300); Zhang, Xiaodong (57226509153)","57226504268; 57199719227; 58452321300; 57226509153","Blockchain for Effective Renewable Energy Management in the Intelligent Transportation System","2022","Journal of Interconnection Networks","22","","2141009","","","16","10.1142/S0219265921410097","https://www.scopus.com/pages/publications/85111743262?origin=resultslist","In intelligent transportation systems (ITS), electric vehicles (EVs) play an essential role in reducing environmental pollution and minimizing high fuel costs. The EVs are three times efficient than conventional gasoline-powered vehicles, whereas it depends on the mix of source generation on the grid utilized for charging. However, in most cases, the EVs are resultant in emitting the more substantial greenhouse gas that extends fossil fuels' lives. Therefore, the ITS contributing to developing the renewable energy management process is incorporated with electric vehicles to reduce greenhouse gas. The EVs are mostly designed to reduce the cost and improve efficiency during the charging infrastructure. Hence, renewable energies are saved exclusively and eliminating wasteful usage. In this work, a blockchain-based effective renewable energy management process should be created to achieve this goal. The blockchain process validates each EV before permitting them to charge their vehicle. The blockchain principle analyzes the energy demand of any EV and validates its demand through vehicle data. The validation process enables the same and original energy use vessel to be identified to remove threats associated activities efficiently. The validating process considering the vehicle information and energy utilization level to verify the EV. The block-based validation process monitoring each vehicle entered into the grid environment, and the ITS process minimizes the fuel wastage and enhances the system's overall efficiency.  © 2022 World Scientific Publishing Company.","blockchain; electric vehicle (EV); energy utilization; fossil fuels; Intelligent transport system (ITS); renewable energy; vehicle information","Blockchain; Cost reduction; Electric vehicles; Energy management; Energy management systems; Fossil fuels; Greenhouse gases; Information management; Intelligent systems; Intelligent vehicle highway systems; Process monitoring; Traffic control; Block-chain; Electric vehicle; Greenhouses gas; Intelligent transport; Intelligent transport system; Intelligent transportation systems; Management process; Renewable energies; Transport systems; Vehicle information; Energy utilization","Article","Final","","Scopus","2-s2.0-85111743262"
"Gupta R.; Kakkar R.; Chaudhary S.; Tanwar S.; Polkowski Z.; Alqahtani F.; Tolba A.","Gupta, Rajesh (57201584761); Kakkar, Riya (57362359600); Chaudhary, Sachi (57810081300); Tanwar, Sudeep (56576145100); Polkowski, Zdzislaw (55928926600); Alqahtani, Fayez (56113467000); Tolba, Amr (56442428300)","57201584761; 57362359600; 57810081300; 56576145100; 55928926600; 56113467000; 56442428300","BESTS: Blockchain-enabled electric vehicles scheduling and coordination scheme at charging station","2025","Sustainable Energy, Grids and Networks","41","","101596","","","3","10.1016/j.segan.2024.101596","https://www.scopus.com/pages/publications/85213854768?origin=resultslist","The proliferation of electric vehicles (EVs) in the automobile industry has become a prominent alternative to fossil-fuel vehicles by facilitating energy sustainability for a greener environment. Nevertheless, secure and efficient EV charging coordination is still one of the critical aspects that can bring various privacy challenges during the communication between EVs and charging station (CS) for charging. Towards this goal, we have proposed a blockchain-based EV scheduling scheme for coordinated charging at the CS, i.e., BESTS. To attain this, we formulate various EV scheduling scenarios based on their energy demands and different type of EVs (emergency, high authority, and regular) to allocate EVs at a CS over the fifth generation (5G) communication network and InterPlanetary file system (IPFS) protocol. Both 5G and IPFS offers cost-efficient, low latency, and highly reliable transactions for EV charging allocation at a CS. Moreover, we highlighted various smart contract functionalities of the proposed BESTS scheme executed in the remix integrated development environment (IDE) for EV charging allocation based on the available charging slots at the CS. The security aspect of the proposed BESTS scheme is evaluated and verified with the Echidna fuzzy property-based tool, which reflects that the smart contract is not having any vulnerability. Finally, the performance evaluation of the blockchain-based EV scheduling scheme is simulated considering various performance metrics such as gas consumption and cost analysis for the type of EVs and smart contract functions, gas consumption analysis for the number of EVs, and bit error rate. © 2024 Elsevier Ltd","Blockchain; Charging station; Echidna; Electric vehicle; IPFS; Scheduling","Cost benefit analysis; Block-chain; Charging station; Echidna; Electric vehicle charging; Filesystem; Gas consumption; Interplanetary file system; Scheduling and coordinations; Scheduling schemes; Vehicle scheduling; Smart contract","Article","Final","","Scopus","2-s2.0-85213854768"
"Kaur A.; Singh P.; Singh J.","Kaur, Avinash (56517666100); Singh, Parminder (57210392587); Singh, Jagdeep (59439201800)","56517666100; 57210392587; 59439201800","Renewable Energy Optimization for Distributed EV Charging Stations Using HBA and Smart Contracts","2025","IEEE Internet of Things Journal","12","17","","34700","34707","4","10.1109/JIOT.2025.3554506","https://www.scopus.com/pages/publications/105001242655?origin=resultslist","The demand for electric vehicles (EVs) is influenced by the location of charging stations and the management of renewable energy production. Efficient control of renewable energy can optimize resource usage, cost reduction, and enhance operator's profitability, whereas mismanagement adversely impacts economic and energy efficiency. This study proposed an optimal location management system for distributed charging stations with renewable energy. A reward mechanism has been designed to support the electrical vehicle charging station (EVCS) operators based on uncertain demand and location. The unexpected arrival of EV demand is catered with the proposed response model by considering the price, time, and charging. The Honey Badger Algorithm (HBA) is used for the optimal operation of the charging operator for EV response. The smart contract is deployed between the transmission and charging operators to decide incentives for handling congestion and voltage stability. The experiment results demonstrate that the proposed model can reduce the overproduction of variable renewable energy with proper location management of charging stations for EVs. © 2014 IEEE.","EV charging station; EV response model; Honey Badger Algorithm (HBA) optimization; renewable energy; smart contract","Algorithms optimizations; Charging station; Electric vehicle charging; Electric vehicle charging station; Electric vehicle response model; Energy optimization; Honey badger algorithm optimization; Renewable energies; Response model; Vehicle response; Charging stations","Article","Final","","Scopus","2-s2.0-105001242655"
